,ts_code,trade_time,open,close,high,low,vol,amount,oi
126,IF2309.CFX,2023-08-25 13:06:00,3716.0,3714.4,3717.0,3713.2,506.0,563957250.0,174972.0
127,IF2309.CFX,2023-08-25 13:07:00,3714.4,3714.0,3716.6,3713.2,347.0,386691300.0,174974.0
128,IF2309.CFX,2023-08-25 13:08:00,3714.0,3712.8,3714.2,3711.4,655.0,729457200.0,174972.0
129,IF2309.CFX,2023-08-25 13:09:00,3712.6,3709.2,3712.6,3709.0,781.0,869288960.0,174995.0
130,IF2309.CFX,2023-08-25 13:10:00,3709.0,3710.4,3712.0,3708.0,634.0,705622800.0,175001.0
131,IF2309.CFX,2023-08-25 13:11:00,3711.2,3711.8,3712.6,3710.0,252.0,280572900.0,175047.0
132,IF2309.CFX,2023-08-25 13:12:00,3712.0,3714.0,3714.4,3711.8,272.0,302989570.0,175123.0
133,IF2309.CFX,2023-08-25 13:13:00,3714.2,3715.6,3715.6,3711.8,336.0,374338020.0,175268.0
134,IF2309.CFX,2023-08-25 13:14:00,3715.4,3716.2,3716.6,3713.8,283.0,315448500.0,175332.0
135,IF2309.CFX,2023-08-25 13:15:00,3716.4,3716.2,3717.8,3715.0,231.0,257548140.0,175355.0
136,IF2309.CFX,2023-08-25 13:16:00,3716.2,3717.6,3719.6,3716.2,462.0,515349200.0,175402.0
137,IF2309.CFX,2023-08-25 13:17:00,3717.6,3718.2,3718.2,3716.0,223.0,248683020.0,175412.0
138,IF2309.CFX,2023-08-25 13:18:00,3718.2,3720.2,3721.0,3717.0,275.0,306823140.0,175442.0
139,IF2309.CFX,2023-08-25 13:19:00,3720.2,3718.2,3720.2,3717.6,207.0,230933400.0,175472.0
140,IF2309.CFX,2023-08-25 13:20:00,3718.0,3723.2,3723.8,3716.4,524.0,584967900.0,175569.0
141,IF2309.CFX,2023-08-25 13:21:00,3722.8,3721.6,3723.2,3720.0,287.0,320427070.0,175623.0
142,IF2309.CFX,2023-08-25 13:22:00,3721.8,3724.0,3726.0,3721.2,527.0,588861100.0,175656.0
143,IF2309.CFX,2023-08-25 13:23:00,3723.6,3721.0,3723.6,3720.4,223.0,248991710.0,175652.0
144,IF2309.CFX,2023-08-25 13:24:00,3721.4,3719.4,3721.6,3719.4,148.0,165181570.0,175670.0
145,IF2309.CFX,2023-08-25 13:25:00,3719.2,3720.0,3720.8,3719.0,83.0,92618460.0,175677.0
146,IF2309.CFX,2023-08-25 13:26:00,3720.0,3718.4,3721.2,3718.2,129.0,143932740.0,175708.0
147,IF2309.CFX,2023-08-25 13:27:00,3718.6,3722.0,3723.4,3718.6,233.0,260164450.0,175757.0
148,IF2309.CFX,2023-08-25 13:28:00,3722.0,3720.4,3722.2,3720.0,145.0,161854800.0,175773.0
149,IF2309.CFX,2023-08-25 13:29:00,3720.0,3718.8,3720.4,3718.2,165.0,184095840.0,175770.0
150,IF2309.CFX,2023-08-25 13:30:00,3718.8,3718.4,3720.0,3718.0,200.0,223128300.0,175812.0
151,IF2309.CFX,2023-08-25 13:31:00,3718.8,3718.2,3719.4,3716.6,256.0,285517630.0,175834.0
152,IF2309.CFX,2023-08-25 13:32:00,3718.2,3715.2,3718.4,3714.6,255.0,284278700.0,175871.0
153,IF2309.CFX,2023-08-25 13:33:00,3715.0,3717.0,3717.8,3714.4,233.0,259760290.0,175929.0
154,IF2309.CFX,2023-08-25 13:34:00,3717.0,3716.8,3717.2,3716.4,88.0,98123820.0,175932.0
155,IF2309.CFX,2023-08-25 13:35:00,3716.8,3717.4,3717.6,3715.0,164.0,182826000.0,175954.0
156,IF2309.CFX,2023-08-25 13:36:00,3717.0,3719.4,3721.2,3717.0,373.0,416210940.0,176132.0
157,IF2309.CFX,2023-08-25 13:37:00,3719.2,3720.0,3720.2,3717.6,185.0,206407330.0,176213.0
158,IF2309.CFX,2023-08-25 13:38:00,3720.0,3720.2,3721.8,3718.8,145.0,161846940.0,176270.0
159,IF2309.CFX,2023-08-25 13:39:00,3720.2,3717.8,3721.0,3717.8,116.0,129451020.0,176290.0
160,IF2309.CFX,2023-08-25 13:40:00,3717.8,3715.0,3718.4,3714.6,175.0,195111970.0,176360.0
161,IF2309.CFX,2023-08-25 13:41:00,3715.0,3715.4,3716.8,3715.0,158.0,176140260.0,176422.0
162,IF2309.CFX,2023-08-25 13:42:00,3715.4,3714.8,3716.2,3714.0,214.0,238489140.0,176482.0
163,IF2309.CFX,2023-08-25 13:43:00,3714.8,3714.6,3717.0,3714.2,228.0,254146560.0,176608.0
164,IF2309.CFX,2023-08-25 13:44:00,3714.6,3714.8,3715.4,3713.6,142.0,158236140.0,176635.0
165,IF2309.CFX,2023-08-25 13:45:00,3714.8,3713.2,3714.8,3713.0,117.0,130351380.0,176670.0
166,IF2309.CFX,2023-08-25 13:46:00,3713.2,3714.0,3715.2,3713.2,103.0,114774360.0,176705.0
167,IF2309.CFX,2023-08-25 13:47:00,3714.0,3711.2,3714.6,3711.2,248.0,276242460.0,176711.0
168,IF2309.CFX,2023-08-25 13:48:00,3711.2,3711.0,3712.4,3709.2,410.0,456382200.0,176849.0
169,IF2309.CFX,2023-08-25 13:49:00,3710.4,3712.4,3713.4,3709.8,294.0,327410940.0,176933.0
170,IF2309.CFX,2023-08-25 13:50:00,3712.4,3713.8,3714.0,3712.0,228.0,253999550.0,177029.0
171,IF2309.CFX,2023-08-25 13:51:00,3713.8,3717.6,3718.6,3713.2,573.0,638852000.0,177244.0
172,IF2309.CFX,2023-08-25 13:52:00,3717.8,3720.6,3722.8,3717.6,531.0,592732000.0,177364.0
173,IF2309.CFX,2023-08-25 13:53:00,3720.8,3730.8,3730.8,3720.8,1013.0,1132646900.0,177638.0
174,IF2309.CFX,2023-08-25 13:54:00,3730.8,3739.4,3739.4,3730.8,1616.0,1810791800.0,178064.0
175,IF2309.CFX,2023-08-25 13:55:00,3739.6,3735.6,3741.2,3735.2,1211.0,1358093400.0,178391.0
176,IF2309.CFX,2023-08-25 13:56:00,3735.2,3734.8,3735.8,3728.8,873.0,977391800.0,178638.0
177,IF2309.CFX,2023-08-25 13:57:00,3734.4,3740.2,3744.6,3734.4,1216.0,1364663600.0,179032.0
178,IF2309.CFX,2023-08-25 13:58:00,3739.8,3746.2,3748.0,3739.8,1088.0,1222479400.0,179251.0
179,IF2309.CFX,2023-08-25 13:59:00,3746.2,3742.4,3747.4,3741.2,560.0,628913700.0,179351.0
180,IF2309.CFX,2023-08-25 14:00:00,3742.2,3739.8,3744.6,3739.4,465.0,521850300.0,179470.0
181,IF2309.CFX,2023-08-25 14:01:00,3740.2,3731.6,3740.2,3730.0,1026.0,1149338200.0,179777.0
182,IF2309.CFX,2023-08-25 14:02:00,3731.6,3733.4,3735.4,3730.4,472.0,528489180.0,179947.0
183,IF2309.CFX,2023-08-25 14:03:00,3733.0,3727.8,3734.6,3725.6,569.0,636769900.0,180183.0
184,IF2309.CFX,2023-08-25 14:04:00,3727.6,3727.0,3729.8,3726.0,418.0,467435780.0,180348.0
185,IF2309.CFX,2023-08-25 14:05:00,3726.8,3723.2,3729.4,3723.2,407.0,454992350.0,180504.0
186,IF2309.CFX,2023-08-25 14:06:00,3723.0,3720.8,3723.8,3718.2,843.0,940891260.0,180815.0
187,IF2309.CFX,2023-08-25 14:07:00,3721.4,3719.0,3721.8,3718.6,334.0,372786660.0,180903.0
188,IF2309.CFX,2023-08-25 14:08:00,3719.8,3717.0,3719.8,3713.4,1012.0,1128178600.0,181425.0
189,IF2309.CFX,2023-08-25 14:09:00,3716.8,3715.6,3718.0,3713.2,719.0,801357800.0,181810.0
190,IF2309.CFX,2023-08-25 14:10:00,3715.0,3715.4,3717.4,3714.0,541.0,603081100.0,182074.0
191,IF2309.CFX,2023-08-25 14:11:00,3715.2,3713.6,3715.2,3711.2,616.0,686118300.0,182349.0
192,IF2309.CFX,2023-08-25 14:12:00,3712.0,3712.2,3714.2,3712.0,277.0,308521100.0,182455.0
193,IF2309.CFX,2023-08-25 14:13:00,3712.0,3714.6,3715.0,3711.8,298.0,331985760.0,182577.0
194,IF2309.CFX,2023-08-25 14:14:00,3714.4,3715.2,3715.4,3712.0,242.0,269602200.0,182650.0
195,IF2309.CFX,2023-08-25 14:15:00,3715.4,3714.8,3716.2,3714.2,181.0,201732600.0,182709.0
196,IF2309.CFX,2023-08-25 14:16:00,3715.0,3711.4,3715.0,3710.6,454.0,505560670.0,182806.0
197,IF2309.CFX,2023-08-25 14:17:00,3711.8,3714.4,3714.8,3710.2,324.0,360839300.0,182959.0
198,IF2309.CFX,2023-08-25 14:18:00,3714.0,3713.4,3714.6,3711.0,137.0,152578620.0,183036.0
199,IF2309.CFX,2023-08-25 14:19:00,3713.4,3710.6,3713.4,3710.2,127.0,141399490.0,183077.0
200,IF2309.CFX,2023-08-25 14:20:00,3710.6,3709.4,3710.6,3708.8,392.0,436240930.0,183240.0
201,IF2309.CFX,2023-08-25 14:21:00,3709.4,3706.6,3709.6,3705.0,776.0,862933100.0,183441.0
202,IF2309.CFX,2023-08-25 14:22:00,3706.0,3705.0,3707.0,3703.6,582.0,646894460.0,183499.0
203,IF2309.CFX,2023-08-25 14:23:00,3704.4,3707.6,3709.6,3704.2,401.0,445960400.0,183717.0
204,IF2309.CFX,2023-08-25 14:24:00,3707.2,3706.2,3708.0,3705.0,246.0,273543500.0,183822.0
205,IF2309.CFX,2023-08-25 14:25:00,3706.2,3709.2,3709.4,3706.0,182.0,202464000.0,183910.0
206,IF2309.CFX,2023-08-25 14:26:00,3709.2,3709.0,3711.0,3709.0,241.0,268239710.0,183998.0
207,IF2309.CFX,2023-08-25 14:27:00,3708.8,3708.0,3709.4,3706.0,224.0,249127380.0,184083.0
208,IF2309.CFX,2023-08-25 14:28:00,3707.6,3708.0,3709.0,3707.4,123.0,136829820.0,184135.0
209,IF2309.CFX,2023-08-25 14:29:00,3708.0,3707.0,3708.2,3706.8,109.0,121234920.0,184144.0
210,IF2309.CFX,2023-08-25 14:30:00,3707.0,3709.0,3711.0,3707.0,303.0,337177860.0,184253.0
211,IF2309.CFX,2023-08-25 14:31:00,3709.0,3713.6,3715.0,3708.6,437.0,486800770.0,184420.0
212,IF2309.CFX,2023-08-25 14:32:00,3713.0,3713.4,3714.0,3710.2,246.0,273951300.0,184496.0
213,IF2309.CFX,2023-08-25 14:33:00,3712.6,3713.0,3714.6,3711.8,149.0,166004400.0,184551.0
214,IF2309.CFX,2023-08-25 14:34:00,3712.6,3711.2,3712.8,3711.0,103.0,114697200.0,184574.0
215,IF2309.CFX,2023-08-25 14:35:00,3711.0,3711.8,3712.4,3709.8,183.0,203733660.0,184639.0
216,IF2309.CFX,2023-08-25 14:36:00,3711.8,3710.0,3712.0,3710.0,198.0,220423550.0,184693.0
217,IF2309.CFX,2023-08-25 14:37:00,3710.2,3706.2,3710.2,3705.2,393.0,437120930.0,184790.0
218,IF2309.CFX,2023-08-25 14:38:00,3707.0,3707.0,3707.4,3705.6,227.0,252411420.0,184835.0
219,IF2309.CFX,2023-08-25 14:39:00,3707.0,3706.0,3707.4,3705.6,179.0,199027500.0,184898.0
220,IF2309.CFX,2023-08-25 14:40:00,3706.4,3706.0,3707.4,3705.4,311.0,345812860.0,184936.0
