trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2024-04-16,600519.SH,1665.49,1679.56,1659.0,1670.0,1672.98,-2.98,-0.1781,26266.23,4382796.962
2024-04-17,600519.SH,1668.0,1675.2,1658.0,1667.0,1670.0,-3.0,-0.1796,24819.11,4130322.018
2024-04-18,600519.SH,1659.01,1682.98,1658.18,1670.78,1667.0,3.78,0.2268,26568.41,4445487.745
2024-04-19,600519.SH,1660.78,1668.5,1641.28,1646.64,1670.78,-24.14,-1.4448,23499.92,3879233.242
2024-04-22,600519.SH,1654.0,1678.88,1645.0,1675.06,1646.64,28.42,1.7259,29951.39,5001684.635
2024-04-23,600519.SH,1675.0,1695.0,1675.0,1692.28,1675.06,17.22,1.028,24979.95,4217855.279
2024-04-24,600519.SH,1696.98,1699.91,1683.33,1693.6,1692.28,1.32,0.078,17086.43,2893555.635
2024-04-25,600519.SH,1690.33,1695.6,1682.25,1693.04,1693.6,-0.56,-0.0331,14476.48,2447183.879
2024-04-26,600519.SH,1694.0,1714.0,1693.98,1709.43,1693.04,16.39,0.9681,30995.92,5290248.521
2024-04-29,600519.SH,1696.95,1728.0,1693.82,1704.0,1709.43,-5.43,-0.3176,41332.23,7072096.59
2024-04-30,600519.SH,1705.01,1729.88,1705.0,1705.0,1704.0,1.0,0.0587,30759.89,5273902.374
