date,code,open,close,high,low,volume,amount,amplitude,change-amount,turn
2023-07-04,3241.23,3245.35,3246.96,3233.99,279248721,387115944059.6,0.4,0.04,1.37,0.59
2023-07-05,3240.05,3222.95,3241.84,3218.6,264016426,351234984740.6,0.72,-0.69,-22.4,0.56
2023-07-06,3215.86,3205.57,3229.48,3199.72,246119032,320808312589.1,0.92,-0.54,-17.38,0.52
2023-07-07,3197.47,3196.61,3212.05,3189.21,255688469,313607453159.0,0.71,-0.28,-8.96,0.54
2023-07-10,3208.73,3203.7,3216.53,3192.66,236560367,311462495601.4,0.75,0.22,7.09,0.5
2023-07-11,3211.12,3221.37,3221.68,3200.38,227600467,309950254679.6,0.66,0.55,17.67,0.48
2023-07-12,3220.38,3196.13,3224.33,3193.44,271423386,365433182293.6,0.96,-0.78,-25.24,0.57
2023-07-13,3202.7,3236.48,3238.47,3202.7,276620508,373242517824.7,1.12,1.26,40.35,0.58
2023-07-14,3240.97,3237.7,3248.38,3234.0,273327494,368337829107.5,0.44,0.04,1.22,0.58
2023-07-17,3219.02,3209.63,3219.02,3195.89,250208376,322074497062.9,0.71,-0.87,-28.07,0.53
2023-07-18,3206.79,3197.82,3210.25,3190.0,235030259,307331649309.9,0.63,-0.37,-11.81,0.5
2023-07-19,3195.01,3198.84,3204.36,3181.56,217355860,281206091159.0,0.71,0.03,1.02,0.46
2023-07-20,3201.91,3169.52,3209.06,3165.67,238932891,302376024110.2,1.36,-0.92,-29.32,0.5
2023-07-21,3163.42,3167.75,3185.64,3157.33,225331363,280673190404.2,0.89,-0.06,-1.77,0.48
2023-07-24,3157.47,3164.16,3178.73,3151.13,216595211,260119088909.0,0.87,-0.11,-3.59,0.46
2023-07-25,3201.46,3231.52,3231.75,3201.46,348617714,410846601110.5,0.96,2.13,67.36,0.74
2023-07-26,3228.09,3223.03,3229.89,3212.88,317206051,328306929373.1,0.53,-0.26,-8.49,0.67
2023-07-27,3225.48,3216.67,3245.6,3210.47,327118867,332145068267.5,1.09,-0.2,-6.36,0.69
2023-07-28,3206.74,3275.93,3280.28,3200.99,411068434,436923617408.4,2.46,1.84,59.26,0.87
2023-07-31,3287.21,3291.04,3322.13,3281.01,459030994,511505348417.9,1.26,0.46,15.11,0.97
2023-08-01,3288.76,3290.95,3305.34,3279.57,459890833,441023318588.5,0.78,0.0,-0.09,0.97
2023-08-02,3281.86,3261.69,3290.82,3252.3,405341499,388952703973.5,1.17,-0.89,-29.26,0.86
2023-08-03,3254.57,3280.46,3280.86,3247.27,384691317,389530671967.1,1.03,0.58,18.77,0.81
2023-08-04,3296.09,3288.08,3315.05,3281.73,470927697,497188089389.3,1.02,0.23,7.62,0.99
2023-08-07,3276.78,3268.83,3276.78,3258.54,360341484,393056934181.5,0.55,-0.59,-19.25,0.76
2023-08-08,3260.72,3260.62,3274.52,3246.67,316520733,355750325340.5,0.85,-0.25,-8.21,0.67
2023-08-09,3251.15,3244.49,3257.08,3240.29,271218538,309778299573.6,0.51,-0.49,-16.13,0.57
2023-08-10,3242.21,3254.56,3257.03,3234.12,287412142,307263291733.2,0.71,0.31,10.07,0.61
2023-08-11,3254.48,3189.25,3254.48,3189.25,330137750,339187129840.7,2.0,-2.01,-65.31,0.7
2023-08-14,3159.71,3178.43,3180.51,3141.66,299840327,322632054396.5,1.22,-0.34,-10.82,0.63
2023-08-15,3180.56,3176.18,3186.23,3147.35,273251922,300827985374.6,1.22,-0.07,-2.25,0.58
2023-08-16,3164.7,3150.13,3176.63,3149.72,281728292,303611332638.4,0.85,-0.82,-26.05,0.59
2023-08-17,3137.35,3163.74,3167.45,3123.25,294692586,320785474107.6,1.4,0.43,13.61,0.62
2023-08-18,3165.1,3131.95,3179.12,3131.95,294390352,320449006936.7,1.49,-1.0,-31.79,0.62
2023-08-21,3125.99,3092.98,3134.96,3092.98,265753423,293721061621.2,1.34,-1.24,-38.97,0.56
2023-08-22,3103.78,3120.33,3126.78,3074.53,309316335,348637687606.8,1.69,0.88,27.35,0.65
2023-08-23,3116.27,3078.4,3116.38,3077.61,272244124,297986364377.0,1.24,-1.34,-41.93,0.57
2023-08-24,3085.91,3082.24,3106.18,3072.95,300024637,332447831261.6,1.08,0.12,3.84,0.63
2023-08-25,3068.62,3064.07,3085.05,3053.04,293347686,317757173399.7,1.04,-0.59,-18.17,0.62
2023-08-28,3219.04,3098.64,3219.04,3089.12,485607764,517234120908.6,4.24,1.13,34.57,1.02
2023-08-29,3091.94,3135.89,3145.76,3090.44,398875780,443979436975.1,1.79,1.2,37.25,0.84
2023-08-30,3144.41,3137.14,3153.69,3126.9,347511867,414729469599.3,0.85,0.04,1.25,0.73
2023-08-31,3134.55,3119.88,3139.98,3113.95,313448242,362507128776.7,0.83,-0.55,-17.26,0.66
2023-09-01,3126.02,3133.25,3143.85,3123.19,292310992,334739632924.7,0.66,0.43,13.37,0.62
2023-09-04,3145.94,3177.06,3177.06,3143.38,366391140,404500273017.5,1.07,1.4,43.81,0.77
2023-09-05,3169.74,3154.37,3169.74,3150.08,294061849,342760613428.0,0.62,-0.71,-22.69,0.62
2023-09-06,3147.14,3158.08,3162.15,3136.9,267002230,324001129693.3,0.8,0.12,3.71,0.56
2023-09-07,3152.2,3122.35,3152.27,3120.82,269264733,317186963334.0,1.0,-1.13,-35.73,0.57
2023-09-08,3114.23,3116.72,3126.04,3104.67,228125064,270006714934.3,0.68,-0.18,-5.63,0.48
2023-09-11,3119.61,3142.78,3155.1,3113.82,290442917,351883735976.6,1.32,0.84,26.06,0.61
